Movie_Id,release_year,title,original,listed_in,imdbbis5
322,2007,Superbad,0.0,"Comedies, Cult Movies",3.8
323,2017,The Bridge,0.0,"Dramas, International Movies, Romantic Movies",0.0
324,2016,The CEO,0.0,"Dramas, International Movies, Thrillers",3.05
325,2006,The Lake House,0.0,"Dramas, Romantic Movies, Sci-Fi & Fantasy",3.4
326,2010,The Last Exorcism,0.0,"Horror Movies, Independent Movies, Thrillers",2.8
327,1997,The Saint,0.0,"Action & Adventure, Romantic Movies",0.0
328,2009,The Taking of Pelham 123,0.0,Action & Adventure,3.2
329,2019,Transformers Rescue Bots Academy,0.0,Kids' TV,3.75
330,2018,Transformers: Cyberverse,0.0,Kids' TV,3.4
331,2019,Uncle Naji in UAE,0.0,"Comedies, International Movies",2.75
332,2018,Used Goods,0.0,"Action & Adventure, Comedies, International Movies",2.35
333,2008,You Don't Mess with the Zohan,0.0,"Action & Adventure, Comedies",2.75
334,2018,Age of Rebellion,0.0,"Crime TV Shows, International TV Shows, TV Dramas",4.6
335,2015,Barça Dreams,0.0,"Documentaries, International Movies, Sports Movies",3.65
336,2005,Brick,0.0,"Independent Movies, Thrillers",3.65
337,2017,Carbon,0.0,"Dramas, International Movies, Thrillers",0.0
338,2018,Delirium,0.0,"Horror Movies, Thrillers",2.85
339,2018,Garbage,0.0,"Dramas, Independent Movies, International Movies",0.0
340,2018,Hope Aur Hum,0.0,"Children & Family Movies, Comedies, Dramas",3.2
341,2018,​​Kuch Bheege Alfaaz,0.0,"Dramas, Independent Movies, International Movies",3.75
342,2017,Love and Shukla,0.0,"Dramas, Independent Movies, International Movies",3.65
343,2007,Murder Party,0.0,"Comedies, Cult Movies, Horror Movies",2.9
344,2018,Once Again,0.0,"Dramas, Independent Movies, International Movies",3.55
345,2013,Pee Mak,0.0,"Comedies, Horror Movies, International Movies",3.65
346,2018,Sisters,0.0,"International TV Shows, TV Comedies, TV Dramas",3.15
347,1991,Solo Con Tu Pareja,0.0,"Comedies, Independent Movies, International Movies",3.45
348,2017,Sparring,0.0,"Dramas, International Movies, Sports Movies",3.1
349,2017,Stephanie,0.0,Horror Movies,0.0
350,2017,Terrifier,0.0,"Horror Movies, Independent Movies, Thrillers",0.0
351,2017,The Keeping Hours,0.0,"Dramas, Thrillers",3.15
352,2018,The Perfect Day,0.0,"Documentaries, International Movies, Sports Movies",0.0
353,2017,The Promise,0.0,"Horror Movies, International Movies, Thrillers",0.0
354,1994,The River Wild,0.0,Action & Adventure,3.2
355,2017,The Road to Calvary,0.0,"International TV Shows, TV Dramas",3.9
356,2018,최강전사 미니특공대 : 영웅의 탄생,0.0,Children & Family Movies,0.0
357,2017,A Boy Name Flora A,0.0,"International TV Shows, TV Comedies, TV Dramas",3.85
358,2017,A House of Blocks,0.0,"International TV Shows, TV Dramas, TV Horror",3.35
359,1988,Aakhri Adaalat,0.0,"Action & Adventure, International Movies",2.65
360,2017,"Alias JJ, la celebridad del mal",0.0,"Documentaries, International Movies",0.0
361,2017,All About Love,0.0,"International TV Shows, TV Dramas, TV Horror",2.65
362,2012,Berserk: The Golden Age Arc II - The Battle for Doldrey,0.0,"Action & Adventure, Anime Features, International Movies",3.9
363,2013,Berserk: The Golden Age Arc III - The Advent,0.0,"Action & Adventure, Anime Features, International Movies",3.95
364,2006,Brother's Shadow,0.0,"Dramas, Independent Movies",2.95
365,1976,Chadi Jawani Budhe Nu,0.0,"Comedies, International Movies, Romantic Movies",2.3
